流水號,開課系所,課程概述,課程目標,課程要求,評量方式,預期學習時數
17067,農業化學系,,,,,
52063,農業化學系,,,,,
18496,農業化學系,,,,,
25078,農業化學系,,,,,
10972,農業化學系,,,,,
40033,農業化學系,,,,,
12308,農業化學系,,,,,
43291,農業化學系,,,,,
24985,農業化學系,,,,,
19493,農業化學系,,,,,
38055,農業化學系,,,,,
59608,農業化學系,,,,,
17856,農業化學系,,,,,
38944,農業化學系,,,,,
39209,農業化學系,,,,,
21303,農業化學系,,,,,
51470,農業化學系,,,,,
31697,農業化學系,,,,,
38930,農業化學系,,,,,
46482,農業化學系,,,,,
19897,農業化學系,,,,,
47795,農業化學系,,,,,
20754,農業化學系,,,,,
46944,,,,,,
53312,農業化學研究所,,,,,
12626,農業化學研究所,,,,,
30258,農業化學研究所,,,,,
14703,農業化學研究所,,,,,
36840,農業化學研究所,,,,,
33184,農業化學研究所,,,,,
31676,農業化學研究所,,,,,
16946,農業化學研究所,,,,,
24557,農業化學研究所,,,,,
53377,農業化學研究所,,,,,
25156,農業化學研究所,,,,,
49458,農業化學研究所,,,,,
58724,農業化學研究所,,,,,
36066,農業化學研究所,,,,,
25470,農業化學研究所,,,,,
20763,農業化學研究所,,,,,
44486,農業化學研究所,,,,,
53712,農業化學研究所,,,,,
39791,農業化學研究所,,,,,
57292,農業化學研究所,,,,,
37409,農業化學研究所,,,,,
33670,農業化學研究所,,,,,
30362,農業化學研究所,,,,,
21375,農業化學研究所,,,,,
53983,農業化學研究所,,,,,
23323,農業化學研究所,,,,,
10765,農業化學研究所,,,,,
37229,經濟學系 / 會計專業與永續職涯學分學程 / 台灣大學遠距教學課程,本課程為會計學的入門課程的第二學期，因以中文授課，請使用中文學習有困難的同學不要修課。Please refrain from taking this course if you are not proficient in learning in Chinese.,上學期課程已經先介紹會計基本流程、收入認列以及現金、存貨、應收帳款等會計項目，本學期課程將繼續介紹不動產廠房機器設備、投資、負債、股東權益等會計項目以及現金流量和財報分析等相關內容。,待補,,6小時以上
39580,會計學系,,,,,
20243,會計學系,,,,,
54625,會計學系,,,,,
29735,會計學系 / 會計學研究所,,,,,
10218,會計學研究所,,,,,
