課名,教師,流水號,課號,課程識別碼,必選修,開課系所,上課時間,上課地點,加簽類別,授課語言,學分,修課人數上限,課程概述,課程目標,課程要求,評量方式,備註,預期學習時數,詳情頁URL
服務學習甲,黃玉萍,17067,AC0006,603 001G0,必帶,農業化學系,,,1 類,中文授課,1,30,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",第一堂課請於開學第一週星期一第五節於第五教室集合，之後由導師安排,,https://course.ntu.edu.tw/courses/114-2/17067
服務學習乙,羅凱尹,52063,AC0007,603 001H0,必帶,農業化學系,,,1 類,中文授課,1,30,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",第一堂課請於星期二第五節於農化一第五教室集合，之後由導師安排。,,https://course.ntu.edu.tw/courses/114-2/52063
普通微生物學,吳蕙芬,18496,AC2005,603 23100,必帶,農業化學系,"一 3, 4 / 四 1",,2 類,中文授課,3,50,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與林乃君、羅凱尹合授,,https://course.ntu.edu.tw/courses/114-2/18496
普通微生物學實驗,羅凱尹,25078,AC2008,603 23200,必帶,農業化學系,"二 6, 7, 8, 9",,2 類,中文授課,1,30,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與陳宜龍合授,,https://course.ntu.edu.tw/courses/114-2/25078
普通微生物學實驗,羅凱尹,10972,AC2008,603 23200,必帶,農業化學系,"四 6, 7, 8, 9",,2 類,中文授課,1,30,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與陳宜龍合授,,https://course.ntu.edu.tw/courses/114-2/10972
農業化學專業發展,黃玉萍,25857,AC2009,603 20300,必帶,農業化學系,五 6,,2 類,中文授課,1,40,本課程包括專題演講、檢驗單位或產業業界參訪活動,了解農業化學相關專業之學職涯發展,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",課程包括檢驗單位或產業業界參訪活動(時間另訂),,https://course.ntu.edu.tw/courses/114-2/25857
植物營養學,洪傳揚,19093,AC3035,603 39100,選修,農業化學系 / 永續資源學程,"四 3, 4",,2 類,中文授課,2,60,"The course focuses on the major aspects of the nutrient uptake, translocation, metabolism and utilization and their relation to the growth of plants. The topics of lecture include: 
1.Introduction, Definition and Classification of Nutrients; 2.Ion Uptake Mechanisms of Individual Cells and Roots: Short-distance Transport; 3. Long-distance Transport in the Xylem and Phloem; 4. Uptake and Release of Elements by Leaves and Other Aerial Plant Parts; 5. Mineral Nutrition, Yield and Source–Sink Relationships; 6. Functions of Essential Nutrients; 7. Beneficial Elements; 8. Nutrition and Quality; 9. Relationship between Nutrition, Plant Diseases and Pests; 10. Effect of Internal and External Factors on Root Growth and Development; 11. Rhizosphere Chemistry in Relation to Plant Nutrition; 12. Rhizosphere Biology; 13. Adaptation of Plants to Adverse Chemical Soil Conditions; 14. Nutrient and Carbon Fluxes in Terrestrial Agro-Ecosystems.",To acquaint students with understanding of fundamentals of plant nutrition as well as the application in crop cultivation and management.,"Prerequisite: He who has been studied botany, biology or plant nutrition. 
For every absence of the course three points are deducted from the final results. 
Evaluation: There will be a mid-term (50%) and a final examination (50%).","本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與盧  毅合授,,https://course.ntu.edu.tw/courses/114-2/19093
植物營養學實驗,洪傳揚,16900,AC3036,603 39200,必帶,農業化學系,"三 7, 8, 9",,2 類,中文授課,1,28,The course focuses on the major aspects of plant tissue analysis including organic and inorganic nutrients. The topics of experiment include: soil culture and pot cultivation; Symptoms under plant nutrient deficiency; Total sugar and starch analysis; Sugar analysis (Brix measurement); Plant sampling and chlorophyll analysis; Treatment of plant sample; Soil pH and salinity analysis; Nitrate N analysis; Total N analysis; Phosphorus analysis ; Potassium analysis; Data analysis and writing of report.,The students can be skilled in methods of the plant tissue analysis and explain the data.,Rerequisite: He who has taken plant nutrition course.,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與盧  毅合授,,https://course.ntu.edu.tw/courses/114-2/16900
植物營養學實驗,洪傳揚,17524,AC3036,603 39200,必帶,農業化學系,"四 7, 8, 9",,2 類,中文授課,1,28,The course focuses on the major aspects of plant tissue analysis including organic and inorganic nutrients. The topics of experiment include: soil culture and pot cultivation; Symptoms under plant nutrient deficiency; Total sugar and starch analysis; Sugar analysis (Brix measurement); Plant sampling and chlorophyll analysis; Treatment of plant sample; Soil pH and salinity analysis; Nitrate N analysis; Total N analysis; Phosphorus analysis ; Potassium analysis; Data analysis and writing of report.,The students can be skilled in methods of the plant tissue analysis and explain the data.,Rerequisite: He who has taken plant nutrition course.,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與盧  毅合授,,https://course.ntu.edu.tw/courses/114-2/17524
專題研究一,顏瑞泓,40033,AC4012,603 49610,選修,農業化學系,,,2 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-2/40033
