課名,教師,流水號,課號,課程識別碼,必選修,開課系所,上課時間,上課地點,加簽類別,授課語言,學分,修課人數上限,詳情頁URL
服務學習甲,黃玉萍,17067,AC0006,603001G0,必帶,,,,1 類,,1,,https://course.ntu.edu.tw/courses/114-2/17067
服務學習乙,羅凱尹,52063,AC0007,603001H0,必帶,,,,1 類,,1,,https://course.ntu.edu.tw/courses/114-2/52063
普通微生物學,吳蕙芬,18496,AC2005,60323100,必帶,,"一 3,4 / 四 1",農化一第五,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/18496
普通微生物學實驗,羅凱尹,25078,AC2008,60323200,必帶,,"二 6,7,8,9",農化二110-1,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/25078
普通微生物學實驗,羅凱尹,10972,AC2008,60323200,必帶,,"四 6,7,8,9",農化二110-1,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/10972
農業化學專業發展,黃玉萍,25857,AC2009,60320300,必帶,,五 6,共104,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/25857
植物營養學,洪傳揚,19093,AC3035,60339100,必帶 / 選修,,"四 3,4",農化二B10,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/19093
植物營養學實驗,洪傳揚,16900,AC3036,60339200,必帶,,"三 7,8,9",農化二211,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/16900
植物營養學實驗,洪傳揚,17524,AC3036,60339200,必帶,,"四 7,8,9",農化二211,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/17524
專題研究一,顏瑞泓,40033,AC4012,60349610,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/40033
專題研究一,賴喜美,12308,AC4012,60349610,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/12308
專題研究一,蘇南維,43291,AC4012,60349610,選修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-2/43291
專題研究一,王尚禮,24985,AC4012,60349610,選修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-2/24985
專題研究一,施養信,19493,AC4012,60349610,選修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-2/19493
專題研究一,羅凱尹,38055,AC4012,60349610,選修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-2/38055
專題研究一,盧  毅,59608,AC4012,60349610,選修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-2/59608
專題研究一,黃玉萍,17856,AC4012,60349610,選修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-2/17856
專題研究二,賴喜美,38944,AC4013,60349620,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/38944
專題研究二,王尚禮,39209,AC4013,60349620,選修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-2/39209
專題研究二,施養信,21303,AC4013,60349620,選修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-2/21303
