流水號,課號
30397,CHIN2032
54644,CHIN2036
44712,CHIN5076
10471,CHIN2002
35134,CHIN2004
47050,CHIN2238
21858,FL3202
30182,FL4132
51770,FL2014
49392,FL2014
42419,FL2008
42726,FL2008
37731,FL2004
32958,FL2006
47853,FL2010
50459,FL2010
13834,FL2010
26279,FL2012
10736,FL2012
17172,FL2012
21385,FL2012
21292,FL2204
48365,FL3204
57419,FL4082
45764,FL4138
50703,LIS2018
30618,LIS5100
33544,JpnL2012
43836,JpnL2014
13355,JpnL4035
51368,JpnL4035
11211,Thea1010
20789,Thea1004
17175,Thea1006
30270,Thea2024
28661,Thea1408
26163,Thea1135
45532,Thea5622
15753,Anth8001
12971,TCSL7202
46600,PTCSL7909
22292,TCSL7246
39087,TCSL7246
12002,TCSL7246
46413,GPTI7105
54959,Chem3040
15840,Chem3040
19829,Chem3040
46252,Chem3040
42528,Chem3040
49090,Chem3040
47861,Chem3040
55738,Chem3040
52785,Chem3040
17356,Chem3040
48137,Chem3040
53470,Chem3040
15788,Chem3040
34775,Chem4008
50554,Chem4008
53527,Chem4008
17302,Chem4008
36171,Chem4008
55782,Chem4008
59623,Chem4008
16284,Chem4008
10840,Chem4008
45363,Chem4008
40271,Chem4008
11755,Chem4008
39843,Chem4008
48115,Chem4008
16751,Chem4008
36194,Chem4008
26424,Chem4008
34359,Chem4008
27582,Chem4010
41913,Chem4010
29430,Chem4010
20523,Chem4010
39290,Chem4010
53935,Chem4010
11166,Chem4010
39008,Chem4010
53552,Chem4010
44522,Chem4010
42746,Chem4010
41533,Chem4010
34657,Chem4010
32177,Chem4010
21115,Chem4010
13898,Chem4010
16542,Chem4010
56289,Chem4010
54526,Chem4010
46975,Chem4010
46229,Chem4010
23557,Chem4010
,
10534,Geo2013
29394,Geo1008
50239,Geo2008
13490,Geo2008
29856,Geo2008
26285,Geo2008
34721,Geo2008
41054,Geo2008
30105,Geo2008
10065,Geo2008
52516,Geo2008
30706,Geo2008
24770,Geo2008
37650,Geo2008
40573,MATH4008
34624,Geog2002
11027,Geog2015
40222,Geog2017
16365,Geog3024
41151,Phys8061
38173,Phys7001
28224,EE4049
50802,Phys7001
16354,Phys7001
42926,Phys7001
20073,Phys7001
26199,Chem8000
29311,Chem8000
42734,Chem8000
24212,Chem8000
13753,Chem8000
18270,Chem8000
53183,Chem8000
49798,Chem8000
30429,Chem8000
14577,Chem7002
13164,Chem7002
56400,Chem7002
13860,Chem8002
40878,Chem8002
13912,Chem8002
28183,Chem8002
29412,Chem8002
33033,Chem8002
28634,Chem8002
42113,Chem8002
27950,Chem8002
22558,Chem8002
58442,Chem8002
45626,Chem8054
48999,Chem8052
35797,Ocean5103
22328,IPCS8007
26850,IPCS8007
58132,IPCS8007
42020,IPCS8007
11723,IPCS8007
31301,IPCS8007
46843,IPCS8007
36841,IPCS8007
29233,PS1032
17166,PS1032
51115,PS1032
47294,ECON1021
32839,ECON5168
39141,ECON5164
45718,ECON5174
23128,SW1005
32256,SW1006
14976,SW1007
23840,SW2022
40209,SW5030
18060,PS7033
45405,PS7041
23688,PS7501
27337,GIPA5006
49615,ECON7217
15129,SW7029
14093,SW7041
28077,Chem2035
25161,IMP5007
27888,Med4030
54859,Med4007
50127,Med6001
56876,Med6002
37332,Dent5025
25793,PHARM2011
10326,PHARM2007
25433,PHARM3025
46390,PHARM4035
51301,PHARM5046
15730,PHARM5048
13588,PHARM5049
41613,PHARM5083
51478,PHARM5064
29863,PHARM5064
59410,MD&PH5024
30410,CliLab5121
23545,CliLab5124
15323,CliLab5134
48204,NURSE2004
47105,PT4031
26651,PT4032
11134,PT4034
33525,PT4049
13018,OT5057
23022,OT4017
41109,OT5024
18285,OT3033
55667,OT3017
52485,OT3018
45882,OT3036
13681,OT3040
12262,OT4020
59109,MD&PH5080
40039,md&ph5017
38905,md&ph5070
58040,md&ph5068
12594,CDent7014
46638,CDent7107
45745,CDent7082
57500,CDent7193
18319,CDent7126
55998,CDent7130
30921,CDent7134
10232,CDent8007
46769,CDent8013
28656,PHARM8002
13664,NURSE8009
13772,NURSE8009
20297,PT8019
31772,PT8019
58408,PT8020
17783,PT8020
56012,PT8020
46747,PT8021
42898,PT8021
56520,PT8021
42268,PT8022
51731,PT8022
39768,PT8022
51941,PT8023
14588,PT8023
29799,PT8025
34011,PT8025
14804,PT8025
33037,PT8025
52342,PT8026
58120,PT8026
54738,PT8026
42688,PT8027
29688,PT8027
31962,PT8028
40512,PT8029
26792,PT8029
50822,PT8029
18985,PT8029
12816,PT8031
24966,PT8032
57920,PT8033
34145,PT8034
10869,PT8035
25415,PT7001
12352,PT7001
27976,PT7001
53950,PT7002
16795,PT7002
13087,PT7002
51148,PT7003
36026,PT7003
36711,PT7003
57181,PT7005
56521,PT7006
59832,PT7007
48534,PT7008
34974,PT7113
20537,PT7104
13248,PT7104
36308,PT7104
38654,PT7105
44570,PT7105
13911,PT7105
51191,PT7100
49613,PT7100
33551,PT7100
33767,PT7100
12744,PT7101
48533,OT7023
17273,OT7023
59589,OT7023
10466,OT7023
