課名,授課教授,開課系所,學分,最後開課學期,流水號,課號,品質,甜度,涼度,紮實,評價內容,評價明細_JSON,課名_catalog,教師,課程識別碼,必選修,開課系所_catalog,上課時間,上課地點,加簽類別,授課語言,學分_catalog,修課人數上限,課程概述,課程目標,課程要求,評量方式,備註,預期學習時數,詳情頁URL
有機化學實驗,楊吉水,醫學系、牙醫學系、醫學檢驗暨生物技術學系、醫學工程學系、園藝暨景觀學系、生命科學系、生化科技學系,1.0,114-2,43414,Chem2035,,,,,"[""無評價""]",[],有機化學實驗,楊吉水,203 225B0,必帶,牙醫學系,,,2 類,中文授課,1.0,70.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",實驗須與課程併修或後修，停修課程，實驗須辦理停修。不得缺席第一週實驗安全講習。,,https://course.ntu.edu.tw/courses/114-2/43414
有機化學實驗,柳玗珍,醫學系、牙醫學系、醫學檢驗暨生物技術學系、醫學工程學系、農藝學系、動物科學技術學系、園藝暨景觀學系、獸醫學系、昆蟲學系、植物病理與微生物學系、生物科技與食品營養學士學位學程、生命科學系、生化科技學系,1.0,114-2,57974,Chem2035,,,,,"[""無評價""]",[],有機化學實驗,柳玗珍,203 225B0,必帶,生命科學系,,,2 類,中文授課,1.0,70.0,"114下學期外系學期班有機化學實驗進度

一、課程簡介：
實驗01：再結晶與熔點測定
實驗02：蒸餾
實驗04：萃取
實驗05：層析法
實驗06：烯類與烷類
實驗08：氯烷之製備與性質
實驗09：環己酮之製備
實驗12：阿斯匹靈之製備及其性質反應
實驗17：醚類之製備


＊ 以上代表實驗內容及各週實驗的參考資料來源。每週做一個實驗，實驗以分組進行，每組2人。詳細資料請參照有機化學實驗課本。

二、先修課程：
本門課須修過普通化學實驗(不得併修)。
本門課須修過或併修有機化學。",學習有機化學實驗之原理與操作。希望學生能正確學習有機實驗基礎技能與原理的認識，增進學生的學習興趣與學習成效，並對實驗技巧有更好的掌握。,"每週實驗前自行預習、觀看示範影片熟悉實驗步驟，並於實驗課前繳交實驗預報，實驗結束後繳交結報。

實驗課必戴框式眼鏡保護眼睛（禁戴隱形眼鏡及太陽眼鏡），實驗中不可取下眼鏡。
實驗課中需穿全棉質實驗衣，著長褲，長髮應束紮起，不得穿拖鞋或涼鞋。（未依規定者以曠課論）。
實驗室內不得高聲喧嘩，不得進食，不得進行與實驗無關的工作。
實驗結束後必須清理實驗桌並將儀器歸位，同時洗淨雙手方可離去。
上課時手機請關機。不可遲到，實驗中途不得任意離開。
曠課兩次該學期實驗成績0分。曠課或請假後，由助教安排於當週至其他實驗班補作實驗。
實驗課除病假證明可後補外，一律事先出具相關證明，經助教同意後始可請假，未請假而無故未到者以曠課論。

第一堂課未到，且第一週內未與負責助教取得聯繫者，不得修習本門課程。","本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",實驗須與課程併修或後修，停修課程，實驗須辦理停修。不得缺席第一週實驗安全講習。,"課後學習時數：1小時
課後學習時數：1小時",https://course.ntu.edu.tw/courses/114-2/57974
左傳乙下,李隆獻,中國文學系,2.0,114-2,30397,CHIN2032,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
史記甲下,張素卿,中國文學系,2.0,114-2,54644,CHIN2036,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
"音樂作品欣賞二
A1",蔡世豪,中國文學系,2.0,114-2,14613,CHIN1050,,,,,"[""無評價""]",[],音樂作品欣賞二,蔡世豪,101 28320,選修,無授課對象 / 中國文學系,,普通103）,3 類,中文授課,2.0,180.0,請參見課程進度。,"(1) 提供有興趣接觸古典音樂的同學修習，藉此提昇學生的欣賞能力，是一門特別為音樂入門者設計的課程。
(2) 期望同學在一學期的音樂洗禮後，除了學到一些音樂學術的基礎外，能以音樂豐富心靈充實人生、建立個人的聆賞品味、對個人內在的感性有更深一層的認識與體驗，成為一個有音樂藝術氣質的人，並以喜悅的心情與廣大的心胸來領受這美好的世界。",＊＊＊本課程不開放人工加選，請使用學校系統進行加退選。,"15%	

出席

請參見課程規範。


35%	

期中報告

請參見課程規範。


50%	

期末測驗

請參見課程規範。

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","中文系 A1*:文學與藝術領域兼通識A1*。
無授課對象 A1*:文學與藝術領域。兼通識A1*。。A1*:文學與藝術領域。可充抵通識",,https://course.ntu.edu.tw/courses/114-2/14613
清儒名著選讀,曹美秀,中國文學系,3.0,114-2,29555,CHIN3022,,,,,"[""無評價""]",[],清儒名著選讀,曹美秀,101 34600,選修,中國文學系,,,2 類,中文授課,3.0,35.0,本課程藉由對清代儒者作品之選讀，使學生認識清代學術思想概況。課程之進行，同時兼顧史的發展線索及個別學人的學術思想內涵，分清初、乾嘉、晚清三大單元，以明清代學術思想之流變；又以各時期重要學人為主題，作選文閱讀，以明清人學術思想之內涵。,"1.藉由閱讀清代作品，培養閱讀、理解古文的能力，及對傳統中國文化感情。
2.經由對清代學術思想作品的閱讀，引發學生將來對於清代的斷代研究之興趣。
3.藉由對清人學術的認識，培養學生對中國傳統學術的興　　趣。
4.藉由對清代學術思想的了解，思考現代學術的建立，並思索中國傳統學術於現代生活的意義。","1.不可無故缺課；上課務必準時。
2.鼓勵上課發言提問，參與課程之情形，作為學期成績加減分之參考。","50%	

期中考


50%	

期末考

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/29555
蒙文二,蕭素英,中國文學系,2.0,114-2,23025,CHIN5044,,,,,"[""無評價""]",[],蒙文二,蕭素英,101 51120,選修,中國文學系,,,2 類,中文授課,2.0,30.0,"1.蒙古文字發展概述 
2.回鶻式蒙古文字母與正字法 
3.蒙古語語音、音韻簡介 
4.蒙古語構詞、語法簡介 
5.現代蒙古語口語練習（內蒙古口音）  

本課程主要講授傳統蒙文的字母、音節、正字法和蒙古語的基本語音、詞法、語法，每週也會有口語的練習。",本課程結束後，學生應能將回鶻式蒙文轉寫為拉丁字母、將拉丁轉寫還原為蒙文，並對蒙語的音韻、構詞、語法有基本的認識，能使用詞典、文法參考書閱讀、翻譯蒙文短文。,"1. 作業 （書寫練習 & 口語錄音） 
2. 課堂活動參與 
3. 期中考（Open book）& 口試 
4. 期末考（Open book）& 口試","20%	

期中考試

筆試（open book)、口試


20%	

期末考試

筆試（open book)、口試


40%	

作業

書面作業、口語作業


20%	

平時成績

出席率、課堂表現

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,2,https://course.ntu.edu.tw/courses/114-2/23025
滿文一,莊吉發,中國文學系,2.0,114-2,16212,CHIN5007,5.0,5.0,5.0,5.0,"[""[User58937 | 114-2]: 滿文基礎認識\n老師面授\n老師自己發的講義\n六次小測\n具體不知\n建議對滿文有興趣有一點基礎的選""]","[{""User_ID"": ""User58937"", ""Semester"": ""114-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""滿文基礎認識\n老師面授\n老師自己發的講義\n六次小測\n具體不知\n建議對滿文有興趣有一點基礎的選""}]",滿文一,莊吉發,101 51510,選修,中國文學系,,,2 類,中文授課,2.0,40.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/16212
臺灣閩南語二,林貝珊,中國文學系,2.0,114-2,44712,CHIN5076,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
文學概論下,陳昭瑛,中國文學系,2.0,114-2,11881,CHIN1006,,,,,"[""無評價""]",[],文學概論下,陳昭瑛,101 18102,必帶,中國文學系,,,2 類,中文授課,2.0,50.0,"本課為中文系一年級必修課，以探討「文學」的核心概念為宗旨，引導學生對「文學」與「文學性」及其相關問題有一初步認識，為中文系學生日後研讀中國文學提供必要的理論基礎。
課程進度
第一講 生活世界中的文學體驗(一): 處處有文學
第二講 生活世界中的文學體驗(二): 人人是文學家
第三講 「文學」的基本概念(一)：文化與文學
第四講 「文學」的基本概念(二)：文學、文學作品與文學性
第五講 「文學」的起源(一)：與藝術起源說的聯繫
第六講 「文學」的起源(二)：口述與書寫/聆聽與閱讀
第七講 「文學」的「體用」(一)：形上學、宇宙論、知識論與美學的觀點
第八講 「文學」的「體用」(二)：「作品」本身與藝術性
第九講 「文學」的「體用」(三)：教化之用與無用之用
第十講 「文學」中「人」的因素(一)：作者與讀者
第十一講 「文學」中「人」的因素(二)：歷史與傳統
第十二講 「文學」中「人」的因素(三)：民族性與社會性
第十三講 「文學」中「人」的因素(四)：性別、宗教與科技
第十四講 「文學」中「自然」的因素(一)：自然美、自然宗教、儒道思想的原始宗教來源
第十五講 「文學」中「自然」的因素(二)：比興、寓言、模仿
第十六講 「文學」中「自然」的因素(三)：象徵、隱喻、情景交融之境
第十七講 文學中的「理解」問題：知音與文學批評
第十八講 文學與其他藝術（音樂、繪畫、建築、電影）
第十九講 基本「文類」(genre)及相關問題
第二十講 詩（一）：表現和文字風格
第二十一講 詩（二）：民族性與音樂性
第二十二講 散文（一）：表現和再現的融合
第二十三講 散文（二）：與生活世界的連結，與其他文類的連結
第二十四講 小說（一）：以再現為主，以表現為輔
第二十五講 小說（二）：以故事和人物為核心的綜合文類
第二十六講 戲劇（一）：美學與心理學的觀點
第二十七講 戲劇（二）：文學性及向綜合藝術的轉化
第二十八講 文體（風格）的相關問題",鍛鍊學生研讀文學作品、思考文學相關問題的能力，培養具有寬廣視野的文學心靈。,授課方式 ： 講授為主，討論為輔 。,"No. 項目 百分比 說明
1. 平時分數 30% (含出席、發言與堂上報告)
2. 期考 70%
點名作為參考（一次未到扣總分二分，二次未到扣總分五分，三次未到扣總分九分，四次未到扣考期末考）
預期每週課前或/與課後學習時數
Office Hour
指定閱讀
參考書目
一、　朱光潛 《詩論》
二、　陳世驤 《陳世驤文存》
三、　宗白華 《美學散步》
四、　徐復觀 《中國文學論集續篇》
五、　廖蔚卿 《六朝文論》
六、　亞理士多德 《詩學》
七、　黑格爾 《美學》第三卷第三章《詩》
八、　呂正惠編 《文學的後設思考：當代文學理論家》
九、　李澤厚《美的歷程》
十、　陳昭瑛 《儒家美學與經典詮釋》
十一、講義
評量方式
本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/11881
