課名,授課教授,開課系所,學分,最後開課學期,流水號,課號,品質,甜度,涼度,紮實,評價內容,評價明細_JSON
有機化學實驗,楊吉水,醫學系、牙醫學系、醫學檢驗暨生物技術學系、醫學工程學系、園藝暨景觀學系、生命科學系、生化科技學系,1,114-2,43414,Chem2035,,,,,"[""無評價""]",[]
有機化學實驗,柳玗珍,醫學系、牙醫學系、醫學檢驗暨生物技術學系、醫學工程學系、農藝學系、動物科學技術學系、園藝暨景觀學系、獸醫學系、昆蟲學系、植物病理與微生物學系、生物科技與食品營養學士學位學程、生命科學系、生化科技學系,1,114-2,57974,Chem2035,,,,,"[""無評價""]",[]
左傳乙下,李隆獻,中國文學系,2,114-2,30397,CHIN2032,,,,,"[""無評價""]",[]
史記甲下,張素卿,中國文學系,2,114-2,54644,CHIN2036,,,,,"[""無評價""]",[]
"音樂作品欣賞二
A1",蔡世豪,中國文學系,2,114-2,14613,CHIN1050,,,,,"[""無評價""]",[]
清儒名著選讀,曹美秀,中國文學系,3,114-2,29555,CHIN3022,,,,,"[""無評價""]",[]
蒙文二,蕭素英,中國文學系,2,114-2,23025,CHIN5044,,,,,"[""無評價""]",[]
滿文一,莊吉發,中國文學系,2,114-2,16212,CHIN5007,5.0,5.0,5.0,5.0,"[""[User58937 | 114-2]: 滿文基礎認識\n老師面授\n老師自己發的講義\n六次小測\n具體不知\n建議對滿文有興趣有一點基礎的選""]","[{""User_ID"": ""User58937"", ""Semester"": ""114-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""滿文基礎認識\n老師面授\n老師自己發的講義\n六次小測\n具體不知\n建議對滿文有興趣有一點基礎的選""}]"
臺灣閩南語二,林貝珊,中國文學系,2,114-2,44712,CHIN5076,,,,,"[""無評價""]",[]
文學概論下,陳昭瑛,中國文學系,2,114-2,11881,CHIN1006,,,,,"[""無評價""]",[]
文字學乙下,林宏佳,中國文學系,2,114-2,10471,CHIN2002,,,,,"[""無評價""]",[]
中國文學史下,黃奕珍,中國文學系,3,114-2,35134,CHIN2004,,,,,"[""無評價""]",[]
聲韻學甲下,李存智,中國文學系,2,114-2,36387,CHIN3002,,,,,"[""無評價""]",[]
聲韻學甲下,徐芳敏,中國文學系,2,114-2,36978,CHIN3002,,,,,"[""無評價""]",[]
中國思想史下,蔡振豐,中國文學系,3,114-2,13980,CHIN3004,,,,,"[""無評價""]",[]
中國思想史下,徐聖心,中國文學系,3,114-2,11717,CHIN3004,,,,,"[""無評價""]",[]
