course_id,course_name,teacher,post_url,post_title,post_author,post_date,content,source
Forest3031,森林生物多樣性概論,丁宗蘇,https://www.ptt.cc/bbs/NTUcourse/M.1673080362.A.F46.html,[評價] A8 森林生物多樣性概論 丁宗蘇,laimooooo (貘子),Sat Jan  7 16:32:40 2023,"※ 本文是否可提供臺大同學轉作其他非營利用途？（須保留原作者 ID）

         （是／否／其他條件）：須標記原出處

      
哪一學年度修課：111-1

ψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)

丁宗蘇
帶大家出去的是各班兩位助教（保母）

      
λ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)

通識A8

      
δ 課程大概內容

在雲與天下、踩著泥土、與大樹們一起閱讀大自然這本書（From ntu cool）
      
Ω 私心推薦指數(以五分計)

喜歡大自然★★★★★

喜歡動植物★★★★★
想認識新朋友★★★★★（見仁見智）
剪片能力0 ★★★
戀愛巴士 ？？？（後文說明）

      
η 上課用書(影印講義或是指定教科書)

會發野外觀察手冊

μ 上課方式(投影片、團體討論、老師教學風格)

行前有大約五小時的線上課程，在01班出隊前一週六會有一次實體助教課（都是同一天，

01-03上午，04-06下午），內容包括行前通知跟小考跟行前作業。

之後就是五天快樂出遊，行程的話網路上都找得到，基本上就是去南投的台大領地。每天

都會在不同的地方上課，會有不同的老師講解生態跟動植物，上完會有隨堂考（很簡單）

，第二跟四天晚上會有天文助教帶大家認識星空（買一送一的概念）。第三天晚上會有團

體作業討論時間，會選出班長帶大家討論。

總共會分為六組固定組，每堂課都會拆三三兩大組一起上課，因此除了自己的組員外，也

會跟不同的組別一起上課，讓大家有機會認識新朋友。

至於戀愛巴士的部分，本班數量掛0啦，只能說很看緣分^_^

基本上就是瘋狂走路的五天，個人對認識森林跟生物興趣普普，所以就當作是去踏青吸收

芬多精、看看大自然的鬼斧神工跟浩瀚星空還有交朋友。五天下來真的會覺得心靈放鬆很

～～多，偶爾遠離塵囂呼吸新鮮空氣很讚。

σ 評分方式(給分甜嗎？是紮實分？)

行前作業 15%（校園植物觀察，畫畫加說明）

助教課小考12.5%（跟線上影片有關）

野外課程小考12.5%

團體任務卡15%（第五天會收回，就是小組學習單）

個人期末作業12.5%（3分鐘以上的影片）

團體期末作業12.5%（全班20分鐘以上的影片）

學生互評10%

個人表現10%（記得後來是填評鑑問卷就全拿）

好像沒有傳說中的甜，去年好像A+1/3-1/4的樣子

ρ 考題型式、作業方式

評分方式有補充！
不過如果不會剪片的話個人作業會有點痛苦
      
ω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？

加簽習慣？嚴禁遲到等…)

很多人（包括我自己）都是選上後才知道，初選的班級並不代表實際出隊班級。在課程說
明會結束後，要匯款（2000保證金）加填自己的出隊時間志願序，之後才會
公布正式的班級名單，每人有
一次換班機會。（出發當天再繳3000元）
老師特別強調不要以森多概的名義向其他老師請假，所以填出隊時間志願時，最好先喬好
時間。

      
Ψ 總結

板上很久沒有人幫森多概寫評價了，大四之力好不容易選到趕快寫一篇更新。

我覺得森多概的精髓在於去放鬆心靈、看看大自然，通常都會交到一些不錯的朋友。當作
大四老人的放鬆課程相當適合。

以三學分的課而已，其實要做的事情不少XD，行前作業跟個人影片都需要花些時間完成，
說實在也不是真的很涼的課哈哈，但絕對是一堂值得修的好課！我愛森多！

祝想選到森多概的學長姐弟妹初選及加簽順利。",ptt/NTUcourse
Forest3031,森林生物多樣性概論,丁宗蘇,https://www.ptt.cc/bbs/NTUcourse/M.1582562404.A.30E.html,[通識] 108-1 A8 森林生物多樣性概論 丁宗蘇,openchen1016 (),Tue Feb 25 00:40:00 2020,"※ 本文是否可提供臺大同學轉作其他非營利用途？（須保留原作者 ID）

         （是／否／其他條件）：可

      
哪一學年度修課：
108-1

      
ψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)

         丁宗蘇（開課）；蔡明哲、曾惠芸（合授）

         眾多實驗林研究人員（現場教學）

      
δ 課程大概內容

         以觀察、介紹臺大實驗林各區域的生物為主軸

         同時也有觀星、造林及木材資源、天然災害與生態工法、林下經濟等介紹

      Ω 私心推薦指數(以五分計)

         ★★★★★

         特別推薦各位參加有跨校選課的班次，本學期為03班及06班。

         （不過分數不是很甜，注重這方面的可能只能給：★★★★）

      η 上課用書(影印講義或是指定教科書)

         沒這東西，自然環境就是最好的教材。

      
μ 上課方式(投影片、團體討論、老師教學風格)

         徒步授課，以林道、步道為主

         一小部分會走原始林（無明確道路）

      
σ 評分方式(給分甜嗎？是紮實分？)

         1. 行前作業：10%

         2. 個人表現：20%

         3. 課程小考：25%

         4. 期末呈現：15%

         5. 小組任務：10%

         6. 小組野外表現自互評分：5%

         7. 小組團體討論自互評分：5%

         8. 出席：10%（三次正課兩次沒有出席，無出席分數）

      
ρ 考題型式、作業方式

         1. 行前作業：

            觀察並「手繪紀錄」校內的臺灣原生動植物

            說明「生物多樣性」的定義、重要性及案例。

         2. 課堂小考：

            實習中每堂課結束後由老師隨機抽問

            有認真聽課和筆記都會

         3. 小組任務：

            完成任務卡上的10項任務。

         4. 期末呈現：

　　　　　　以班級為單位完成，通常有影片、演戲等方式

      
ω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？

加簽習慣？嚴禁遲到等…)

　　　　 ※ 臺科大、臺師大學生不給加簽，校內沒選上就不行了

         1. 選到記得繳交保證金2000元，當天繳交3000元。

            嫌費用太貴的就不要選

            上完課絕對會覺得這價格真的是很划算

         2. 實習班次時間不能配合也換不到班的記得退選

            不然會有當掉的紀錄

         3. 室內課期初一次

            介紹生物多樣性概念、各物種的多樣性及實驗林

            期末兩次，一次為各班期末呈現討論（練習或製作）

            另一次為正式的期末呈現

      
Ψ 總結

         這學年度為森多概第一次開放跨校選修

         一部分延伸臺大系統的資源共享

         讓臺科、臺師大的同學也有機會到臺大實驗林學習。

         非常感謝同組及同班同學，讓我能在本課程安全下莊。",ptt/NTUcourse
Forest3071,森林生態學,丁宗蘇,https://www.ptt.cc/bbs/NTUcourse/M.1485516937.A.E48.html,[評價] 105-1 丁宗蘇 森林生態學,winnerli2953 (lps bear),Fri Jan 27 19:35:35 2017,"※ 本文是否可提供臺大同學轉作其他非營利用途？（須保留原作者 ID）
         （是／否／其他條件）：

      
哪一學年度修課：105-1*[m

 
ψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)丁宗蘇 多人合開 

λ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)  森林系必修 背景需有普通生物學的生態知識較佳 

δ 課程大概內容：

       以下每一個逗號是一堂課

       台灣森林概論

       森林環境與林木間之關係：溫度 輻射能、水 土壤

       族群生態學：族群生態模式、族群結構和數量、林分族群結構、植群分析

       生態系：種間關係

       期中考

       生態系：營養階層、森林生產力、生物地球化學

       擾動和森林更新

       森林演替

       地景生態學

       林學經營

       期末考 

Ω 私心推薦指數(以五分計)

       對於喜歡生態學、喜歡聽課的人 ★★★★★推推

       對於喜歡出野外、實地觀察的人 不建議因為機會很少（這門課的性質本來就不是這樣）

      
η 上課用書(影印講義或是指定教科書)

       面對考試，主要以上課講義和上課內容就夠了。丁老師在第一堂課有介紹幾本較general的書，不過都不好買（因為絕版等因素），

       然後老師分別上課的時候也會介紹更多的延伸閱讀，有興趣的可以自己找來看

μ 上課方式(投影片、團體討論、老師教學風格)

       多名老師授課，所以先講一個大略的，下面會有各個老師的補充：
       這是門三學分卻四堂課的課，所以看老師的需求而可能會第四堂課提早下課或上好上滿。然後基本上每個老師都是負責自己擅長的領域，
       一學期中約一半的課上完會有作業，通常是下禮拜交。

       久米朋宣老師：負責一開始的環境，還有生產力的部份。
       老師的實驗是是在模擬環境的model，所以會涉及計算碳庫、光合作用速率等等這些東西。但數學公式不會很難，主要是出在作業裡讓我們思考，
       氣候怎樣的狀況會有怎樣的變化，考試則是測驗大觀念、會有一些名詞解釋。
       久米老師是個日本人，說話非常可愛，他上課主要使用英文，還因為這點跟同學抱歉。但其實我覺得他中文講得比英文好XD，可能是英文字懂得比
       較多吧，雖然有時候會聽不懂他的口音哈哈

       關秉宗老師：負責林分和林業管理，原先有演替跟擾動
       應該是外系最不熟悉的部分，也可以看出來關老師是個很積極在林學上研究的老師，對於森林系的專業有很大的期許。對我而言林業管理是個陌生的領域，
       其中的觀念也非常有趣，考試就是測驗觀念。

       李靜峰老師:負責台灣的森林介紹，因為其中關老師生病所以有代他上演替跟擾動的部分
       可以看出李老師是個對台灣森林很了解的老師，而會補充很多目前台灣的狀況等等，另外李老師的作業非常有創意，會叫我們去野外寫植群分析的報告，也是
       唯一會上課要我們去校園觀察的老師。

       袁孝維老師：傳說中的系主任，只上了一堂族群結構和族群數量變遷的部分。

       江博能老師：負責生物地球化學，也就是生態系元素循環的部分。

       丁宗蘇老師：開課老師，把剩下的部分沒人負責的上掉，有族群模式、種間關係、營養階層和地景的部分
       丁老師是個人很好而且上課很有個人魅力的老師，常常會舉很多日常生活的例子，他的授課範圍也需要介紹一些公式等等，但也都是理解即可不會刁難。
       另外他的考題是超佛心的是非題><

      
σ 評分方式(給分甜嗎？是紮實分？)

       期中40 期末40 作業20  期中期末110分，作業會有7-9次吧然後每次都會給一個等第分數
       紮實偏甜，由於我很喜歡這堂課，本身也有生物背景所以可能不準。
       但簡單來說就是有興趣又認真者可拿A+，不大認真的如果真的想過也不容易被當。
       考試就是這次的範圍依老師上課次數的比例分配分數，然後基本上丁老師很佛的出了約10-20題是非，其他老師多是申論。申論給分不會很嚴，通常是要求你
       闡述一個概念或想法，或舉一些例子，只要有完成到就會全給這樣，而且都是上課一定會教到的，另外久米老師會出名詞解釋。

      
ρ 考題型式、作業方式

       考題部分已經寫在上面了。
       作業的話就是上課內容的回家演練，有可能是回答一些問題然後下禮拜交，也會是算一些數值或公式等，亦或是對生活中的東西做分析，另外特別的是李老師
       有要我們自己找時間出野外做植群分析。

      
ω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？

加簽習慣？嚴禁遲到等…)

       基本上不點名，加簽全簽，我是外系，基礎就是普通生物學的名詞要聽懂，另外有點生物背景會更好，但零基礎的人我相信一定也沒問題，因為授課老師都教的
       不錯。然後我跟我同學都是外系，只是對生態學有興趣就跑去修，結果我同學拿全班第一哈哈

      
Ψ 總結

       推薦所有對生態學有興趣的人，或者想更瞭解森林系在做什麼的人。",ptt/NTUcourse
Forest3031,森林生物多樣性概論,丁宗蘇,https://www.ptt.cc/bbs/NTUcourse/M.1344417829.A.8B1.html,[問題] 生物多樣性概論 丁宗蘇,ja000123 (Recluse),Wed Aug  8 17:23:45 2012,"不是熱門通識森林生物多樣性概論

我想問的是丁宗蘇老師所開授之""生物多樣性概論""

板上跟精華區都查不到相關資料

只查到森多概還有李玲玲老師說開的生物多樣性概論

所以直接發文問了

想問一下有沒有修過課的同學

稍稍介紹一下老師上課的風格

課程的內容、上課方式，是否需要出去校外教學？

以及成績如何評量？

考試？書面報告？上台報告？分組報告？之類的

總之想問一下這門課能學到那些東西？值不值得修？

在此先說聲感謝!!",ptt/NTUcourse
EE5163,高等數位訊號處理,丁建均,https://www.ptt.cc/bbs/NTUcourse/M.1643040711.A.A3D.html,[求救] 想請問丁建均教授高等數位訊號處理課的,MinatoFlash (飛雷神水門),Tue Jan 25 00:11:49 2022,"如題，想請問板上有修過丁建均教授開的高等數位訊號處理課的大大們，
這門課對於Matlab程式的基礎大概在哪？我在去年有修過信號系統，但Matlab只會基礎的語
法和一些簡單的應用（利用傅立葉轉換將訊號從時域轉頻域等等的應用）

想請問板上修過課的大大們這樣基礎是夠的嗎？如果不夠有什麼需要先自學的部分呢？",ptt/NTUcourse
CommE5055,工程數學特論,丁建均,https://www.ptt.cc/bbs/NTUcourse/M.1625332627.A.B6D.html,[評價] 109-2 丁建均 工程數學特論,alfa871212 (阿呆),Sun Jul  4 01:17:05 2021,"※ 本文是否可提供臺大同學轉作其他非營利用途？（須保留原作者 ID）

         （是／否／其他條件）：
                Y
      
哪一學年度修課：

                109-2
      
ψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)

                 丁建均
      
λ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關) 

                 電機所電信所選修（可當電機系系定選修）
      
δ 課程大概內容

                 節錄自
http://djj.ee.ntu.edu.tw/EM.htm

                     (A) Differential Equation

                         (1) Numerical method and nonlinear DE

                         (2) Partial Differential Equations

                         (3) Function Approximation

                     (B) Fourier Analysis

                         (1) Fourier Analysis

                         (2) 2D FT and Discrete FT

                     (C) Linear Algebra

                         (1) Advanced Linear Algebra

                         (2) Generalized Norm and Optimization

                         (3) Discrete Function Approximate

                         (4) SVD and Principal Component Analysis (PCA)

                     (D) Probability and Statistics

                         (1) Probability Model, Entropy, and KL Divergence

                         (2) Random Process, Independent Component Analysis

      
Ω 私心推薦指數(以五分計)
 ★★★★★

                 想複習一下工數 ★★★★★

                 甜、涼 ★★★★★

                 不喜歡證明 ★★★★★

      
η 上課用書(影印講義或是指定教科書)

                 教授投影片，其他參考用書在課程網站都有，主要是電機系各門數學課課本

      
μ 上課方式(投影片、團體討論、老師教學風格)

                 投影片為主，教授會用手寫筆在上面講解，課後會上傳筆跡檔在網站
                （貼心），本學期上課都有上傳錄影到NTU COOL上，所以沒有受疫情
                 影響。教學風格是一貫的Djj Style，就是把講義一步步講解，不會亂
                 跳或是突然進度很趕，算是很好適應的風格。
      
σ 評分方式(給分甜嗎？是紮實分？)

                 紮實甜

                 每三週出一次作業，共五次
                （含4~6大題手寫＋程式作業 \w python or Matlab）各13%

                 期末考因疫情open everything，原訂open book
                （考試時間13:30~21:00超級充足）35%

      
ρ 考題型式、作業方式

                 作業跟考試十分接近，大部分都是講義例題稍微改動，照著步驟做應該
                 不會到太難，而且三週時間很充裕。程式作業都是用python或是matlab
                 實作解題（用電腦幫你算你原本手算的東西），沒有基礎也沒問題，稍
                 微查一些用法應該30行內搞定
      
ω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？

加簽習慣？嚴禁遲到等…)

                從Syllabus可以知道這門課幾乎就是電機系數學課的延伸（微方，線代，
                信號，機率），不過教授想培養的是如何解這些問題的方法，所以難度
                應該比上面的課相對容易一些。基礎應該就是工數（ODE ，eigenvalue，
                Fourier），不過教授會全部帶你練習，即使不熟練應該也可以聽懂。完
                全不注重出席率，不過有些東西可以現場問老師還是好一點。加簽方式
                不太清楚，不過應該是全簽。
      
Ψ 總結

                 這門課涵蓋了電機系大學部的工數部分，如果研究所在準備考試有用到
                 應該多少可以當成複習。只要好好寫作業，教授一般不會刁難同學，作
                 業考試和上課內容是十分吻合，如果有缺甜選修可以參考看看。另外我
                 把這學期我自己寫的作業還有程式作業放在github
                 
https://github.com/alfa871212/Engineering_mathematic

                可能有誤，請斟酌使用。",ptt/NTUcourse
CommE5055,工程數學特論,丁建均,https://www.ptt.cc/bbs/NTUcourse/M.1596951035.A.7AF.html,[評價] 108-2 丁建均 工程數學特論,CupidError (消失),Sun Aug  9 13:30:33 2020,"※ 本文是否可提供臺大同學轉作其他非營利用途？（須保留原作者 ID）

         （是／否／其他條件）：
        是

      
哪一學年度修課：
108-2

      
ψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)

        丁建均教授

      
λ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關) 

        電機所、電信所選修

      
δ 課程大概內容

        分成四個大主題：微分方程、傅立葉分析、線性代數、機率與統計，以下章節順序是老師自己編排的。

        一、微分方程
        Chapter 1 Numerical Methods and Nonlinear Differential Equations
        Chapter 2 Partial Differential Equations
        Chapter 3 Function Approximation
            (用 Orthogonal Basis 來近似函數在某一區間上的行為、Gram-Schmidt process、Legendre Polynomial)

        二、傅立葉分析
        Chapter 4 Fourier Analysis
        Chapter 5 Sampling and Discrete Fourier Transform

        三、線性代數
        Chapter 6 Advanced Linear Algebra
            (Kroneker Product、Jordan Canonical Form、矩陣版本的 Exponential, sine, cosine 函數、Markov Model)
        Chapter 7 Discrete Basis Approximation
            (Chapter 3的離散版本、矩陣的 Pseudo Inverse)
        Chapter 8 Component Analysis
            (奇異值分解(SVD)、主成份分析(PCA))

        四、機率與統計
        Chapter 9 Advanced Probability
            (Moment, Correlation, Entropy, KL Divergence, 獨立成份分析(ICA))

      
Ω 私心推薦指數(以五分計)
 ★★★★★

        輕鬆舒服的數學課 ★★★★★

      
η 上課用書(影印講義或是指定教科書)

        主要是老師自編的投影片，非常詳細。參考用書有以下：（我是完全沒用到）

        [1] D. G. Zill and Michael R. Cullen, Differential Equations-with
Boundary-Value Problem (metric version), 9th edition, Cengage Learning, 2017.
        [2] D. G. Zill, W. S. Wright, and J. J. Ding, Engineering Mathematics, Metric
Edition, Cengage Learning, Taipei, Taiwan, 2019.
        [3] R. N. Bracewell, The Fourier Transform and Its Applications, 3rd ed.,
McGraw Hill, Boston, 2000.
        [4] L. E. Spence, A. J. Insel, and S. H. Friedberg, Elementary Linear Algebra
- A Matrix Approach, 3rd ed., 2014.
        [5] R. D. Yates and D. J. Goodman, Probability and Stochastic Processes, 3rd
Edition, John Wiley and Sons, 2015.
        [6] A. Papoulis and S.U. Pillai, Probability, Random Variables, and
Stochastic Processes, 4th edition, Mcgraw-Hill, 2002.

      
μ 上課方式(投影片、團體討論、老師教學風格)

        投影片上課。因為疫情關係老師會錄影傳到 NTU Cool 上，所以可以依自己喜歡多複習幾次。
        不過因為老師是第一次開這門課，所以投影片都是新寫的，上面打錯滿多東西，老師下課後會上傳筆跡檔，上面會有各種修改痕跡。所以推薦上課前印投影片然後直接手改（也可以下載之後用電腦改，但很花時間）。千萬不要考前一天才把投影片全印下來，難保期末考的時候抄到有 typo 的公式。不過下次開課可能就會改善許多。

      
σ 評分方式(給分甜嗎？是紮實分？)

        作業   13% ×5
        期末考 35%

        甜到不行。還沒公佈分布，猜測會有一堆A+。

      
ρ 考題型式、作業方式

        作業和考試都和課堂投影片的範例類似，期末考 Open Book，基本上不會刁難同學。計算題老師會事先算過，盡量避免那種數字醜積分要積一小時的題目。每次作業會有一題程式題，把教過的演算法用 Matlab 或 Python 實作一遍，不難，半小時內都可以寫完。

      
ω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？

加簽習慣？嚴禁遲到等…)

        用到很多積分。其他像微分方程、線性代數、機率統計最前面老師都會簡單複習一次，零基礎也可以來。
        老師人很好，下課可以問他問題，他通常會整節下課都在回答同學的問題。這整個學期多達 700 頁的投影片都是他自己做的，真是非常敬佩老師。

      
Ψ 總結

        一門輕鬆舒服的數學課。老師主要是要補充電機系大學部工程數學沒教到但他覺得比較常用的部分，要是上到一半突然教到你研究需要的數學工具那當然更好。我正好複習到了早就忘光的 Sampling Theorem ，滿好的。可以當作補充一些常識，也不錯。",ptt/NTUcourse
EE5163,高等數位訊號處理,丁建均,https://www.ptt.cc/bbs/NTUcourse/M.1436693366.A.DC5.html,[評價] 103-1 丁建均 時頻分析和小波轉換,so15963 (榴槤),Sun Jul 12 17:29:22 2015,"※ 本文是否可提供臺大同學轉作其他非營利用途？（須保留原作者 ID）

         （是／否／其他條件）：是，但請另外通知作者

      
哪一學年度修課：

         103-1

      
ψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)

         丁建均

      
λ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)

         電信所

      
δ 課程大概內容

         (1) Introduction
         (2) Short-Time Fourier Transform
         (3) Gabor Transform
         (4) Implementation of Time-Frequency Analysis
         (5) Wigner Distribution Function
         (6) S Transform , Cohen’s Class Time-Frequency Distribution,
             and Other Time Frequency Analysis  Methods
         (7) Movement in the Time-Frequency Plane and Fractional Fourier
             Transforms
         (8) Filter Design by Time-Frequency Analysis
         (9) Modulation, Multiplexing, Sampling, and Other Applications
         (10) Hilbert Huang Transform
         (11) From Haar Transforms to Wavelet Transforms
         (12) Continuous Wavelet Transform with Discrete Coefficients
         (13) Discrete Wavelet Transform
         (14) Applications of the Wavelet Transform

      
Ω 私心推薦指數(以五分計)
 ★★★★★

★★★★★

η 上課用書(影印講義或是指定教科書)

         無指定書籍，於教學網站上提供投影片

      
μ 上課方式(投影片、團體討論、老師教學風格)

         投影片上課，投影片會事先公布於教學網站上，就照投影片講，但投影片不

         一定會完全上到上課，只會挑重點上，不會像微分方程一樣提供有筆記的投

         影片筆記檔，所以建議要去上課。(但是好像可以課間跟他要有筆記的投影

         片檔案)

      
σ 評分方式(給分甜嗎？是紮實分？)

         Basic: 15 scores (基本11.8分，上課回答問題一次加0.8分，加分不限四

                           次，可以破表)

         Homework: 60 scores (5 times)
　
         Term paper 25 scores

         感覺不調分，但是給分很寬鬆，作業有寫且不遲交都可以拿個9X分，其他部

         份給分也都很寬鬆，最後成績出來A+的人高達全班人數的65%，甜!

      
ρ 考題型式、作業方式

         無考試，五次HW都是問答題約五題，外加一題matlab，一次佔分12%，上課都會

         提示回答要點，因為這門課本身內容較難，故建議要去上課(or 有人罩)

         final project有四種形式：書面報告、口頭報告、tutorial以及編輯維基百科

         其中選口頭報告總成績 +2 分，tutorial +3 分

      
ω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？

加簽習慣？嚴禁遲到等…)

         出席率不管，上課吃東西不管，感覺老師滿希望同學多出席，另外作業單看投

         影片並不好解決(因為作答要點往往是挖空的部分XD)，上課會提示，建議要上

         課。(不過要注意的是，本學期的期中報告和外賓演講是可以簽到加分的)

         基礎的話不太需要，老師很用心的把東西講的簡單明瞭，如果不懂可以去問他

         ，他會滿認真的回答你，個人認為這門課比高等數位訊號處理難一點，但也屬

         於可以接受的範圍。

         加簽是一類，電腦選就可以了。

      
Ψ 總結

         之前修過老師的ADSP然後就跑來修小波了XD，小波轉換內容上比較艱深，但是

         這門課並不會講得太難，主要是以這些轉換的一些基礎性質為主，所以並不算

         太令人感到痛苦，加上給分佛心，算是電信所一大熱門，推！",ptt/NTUcourse
EE5163,高等數位訊號處理,丁建均,https://www.ptt.cc/bbs/NTUcourse/M.1404187988.A.E05.html,[評價] 102-2 高等數位訊號處理,so15963 (榴槤),Tue Jul  1 12:13:05 2014,"※ 本文是否可提供臺大同學轉作其他非營利用途？（須保留原作者 ID）

         （是／否／其他條件）：是，但請另外通知作者

      
哪一學年度修課：

         102-2

      
ψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)

         丁建均

      
λ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)

         電信所

      
δ 課程大概內容

         Introduction
         Digital Filter Design
         Homomorphic Signal Processing
         Applications (A): Acoustics
         Applications (B): Data Compression, Others
         Fast Algorithms: Basis, FFT and Convolution
         Orthogonal Transform (A): Walsh Transform
         Orthogonal Transform (B): Number Theoretic Transform
         Orthogonal Transform (C): OFDM, CDMA , and Others

      
Ω 私心推薦指數(以五分計)
 ★★★★★

★★★★★(破表!!)

η 上課用書(影印講義或是指定教科書)

         無指定書籍，於教學網站上提供投影片

      
μ 上課方式(投影片、團體討論、老師教學風格)

         投影片上課，投影片會事先公布於教學網站上，就照投影片講，但是如同老

         師的微分方程，上課並不會照投影片順序講，只會挑投影片重點上，然後他

         不會像微分方程那樣提供有劃過的投影片筆記檔，所以建議要去上課。

      
σ 評分方式(給分甜嗎？是紮實分？)

         給分甜嗎？修過的應該都會會心一笑吧XDDDDDD

         噢對了我聽說上一屆75% A+啦，這一屆不清楚，但感覺頗甜

         算分方式如下

         Basic: 15 scores (基本12分，上課回答問題一次加1分)

         Homework: 60 scores (5 times)
　
         Term paper 25 scores

         會不會調分不清楚，但是因為給分很寬鬆，所以拚個原始A+應該沒什麼困難

      
ρ 考題型式、作業方式

         無考試，五次HW都是問答題約五題，外加一題matlab，一次佔分12%，上課都會

         提示回答要點，有上課應該不會遭遇太大困難

         final project有四種形式：書面報告、口頭報告、tutorial以及編輯維基百科

         其中選口頭報告總成績 +2 分，tutorial +3 分

      
ω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？

加簽習慣？嚴禁遲到等…)

         出席率不管，上課吃東西不管，不過上課回答問題有加分可以看出老師還是希

         望同學多出席，另外作業有些題目單看投影片並不好解決，但是上課會提示，

         故建議要去上一下課。

         基礎的話不太需要，老師很用心的把東西講的簡單明瞭，如果不懂可以去問他

         ，他會滿認真的回答你，雖然叫做高等數位訊號處理感覺有點可怕，但個人認

         為這門課比數位訊號處理甚至於必修的信號與系統都還輕鬆，不過有修過前述

         兩科會有不同的理解。

         加簽是一類，電腦選就可以了。

      
Ψ 總結

         這門課雖然叫做高等數位訊號處理，但是內容上反而比較著重廣度，要修的話

         可能要注意這點，但是內容上還算淺顯易懂，不會有太大困難這樣。這門課也

         算是電信所一大熱門，loading不重又學得到東西，推！

         丁丁真的是認真上課的好老師啊，聽說他剛來系上的時候備課都是用上課時間

         的好幾倍，這學期有一次他身體不適看起來快掛了(氣喘之類的)還硬是把課上

         完，然後在給分上也不會為難大家，大家有興趣的話可以來多支持丁丁啊~~~~",ptt/NTUcourse
EE5163,高等數位訊號處理,丁建均,https://www.ptt.cc/bbs/NTUcourse/M.1295023583.A.3F9.html,[問題] 丁建均老師的高等數位訊號處理,ray0129 (Ray),Sat Jan 15 00:46:21 2011,"因為上學期有修貝蘇章老師的數位訊號處理
這學期看到丁建均老師有開一門叫做""高等""數位訊號處理
不知道兩門課有何差異
會不會有很多重覆之處?

另外想請問丁老師的上課方式(投影片or板書)
評分標準(作業和考試)
麻煩了解此門課的同學說明一下

謝謝!",ptt/NTUcourse
