custom_id,course_id,course_name,teacher,post_url,post_title,post_date,post_tag,year_term,has_template,recommendation,sweetness,workload,teaching_style,grading_method,summary
M.1673080362.A.F46__Forest3031,Forest3031,森林生物多樣性概論,丁宗蘇,https://www.ptt.cc/bbs/NTUcourse/M.1673080362.A.F46.html,[評價] A8 森林生物多樣性概論 丁宗蘇,Sat Jan  7 16:32:40 2023,評價,111-1,True,4,5,2,行前有大約五小時的線上課程，在01班出隊前一週六會有一次實體助教課（都是同一天， 01-03上午，04-06下午），內容包括行前通知跟小考跟行前作業。 之後就是五天快樂出遊，行程的話網路上都找得到，基本上就是去南投的台大領地。每天 都會在不同的地方上課，會有不同的老師講解生態跟動植物，上完會有隨堂考（很簡單） ，第二跟四天晚上會有天文助教帶大家認識星空（買一送一的概念）。第三天晚上會有團 體作業討論時間，會選出班長帶大家討論。 總共會分為六組固定組，每堂課都會拆三三兩大組一起上課，因此除了自己的組員外，也 會跟不同的組別一起上課，讓大家有機會認識新朋友。 至於戀愛巴士的部分，本班數量掛0啦，只…,行前作業 15%（校園植物觀察，畫畫加說明） 助教課小考12.5%（跟線上影片有關） 野外課程小考12.5% 團體任務卡15%（第五天會收回，就是小組學習單） 個人期末作業12.5%（3分鐘以上的影片） 團體期末作業12.5%（全班20分鐘以上的影片） 學生互評10% 個人表現10%（記得後來是填評鑑問卷就全拿） 好像沒有傳說中的甜，去年好像A+1/3-1/4的樣子,板上很久沒有人幫森多概寫評價了，大四之力好不容易選到趕快寫一篇更新。 我覺得森多概的精髓在於去放鬆心靈、看看大自然，通常都會交到一些不錯的朋友。當作 大四老人的放鬆課程相當適合。 以三學分的課而已，其實要做的事情不少XD，行前作業跟個人影片都需要花些時間完成， 說實在也不是真的很涼的課哈哈，但絕對是一堂值得修的好課！我愛森多！ 祝想選到森多概的學長姐弟妹初選及加簽順利。
M.1582562404.A.30E__Forest3031,Forest3031,森林生物多樣性概論,丁宗蘇,https://www.ptt.cc/bbs/NTUcourse/M.1582562404.A.30E.html,[通識] 108-1 A8 森林生物多樣性概論 丁宗蘇,Tue Feb 25 00:40:00 2020,通識,108-1,True,4,,4,徒步授課，以林道、步道為主 一小部分會走原始林（無明確道路）,1. 行前作業：10% 2. 個人表現：20% 3. 課程小考：25% 4. 期末呈現：15% 5. 小組任務：10% 6. 小組野外表現自互評分：5% 7. 小組團體討論自互評分：5% 8. 出席：10%（三次正課兩次沒有出席，無出席分數）,這學年度為森多概第一次開放跨校選修 一部分延伸臺大系統的資源共享 讓臺科、臺師大的同學也有機會到臺大實驗林學習。 非常感謝同組及同班同學，讓我能在本課程安全下莊。
M.1485516937.A.E48__Forest3071,Forest3071,森林生態學,丁宗蘇,https://www.ptt.cc/bbs/NTUcourse/M.1485516937.A.E48.html,[評價] 105-1 丁宗蘇 森林生態學,Fri Jan 27 19:35:35 2017,評價,105-1,True,5,5,,多名老師授課，所以先講一個大略的，下面會有各個老師的補充： 這是門三學分卻四堂課的課，所以看老師的需求而可能會第四堂課提早下課或上好上滿。然後基本上每個老師都是負責自己擅長的領域， 一學期中約一半的課上完會有作業，通常是下禮拜交。 久米朋宣老師：負責一開始的環境，還有生產力的部份。 老師的實驗是是在模擬環境的model，所以會涉及計算碳庫、光合作用速率等等這些東西。但數學公式不會很難，主要是出在作業裡讓我們思考， 氣候怎樣的狀況會有怎樣的變化，考試則是測驗大觀念、會有一些名詞解釋。 久米老師是個日本人，說話非常可愛，他上課主要使用英文，還因為這點跟同學抱歉。但其實我覺得他中文講得比英文好XD，…,期中40 期末40 作業20 期中期末110分，作業會有7-9次吧然後每次都會給一個等第分數 紮實偏甜，由於我很喜歡這堂課，本身也有生物背景所以可能不準。 但簡單來說就是有興趣又認真者可拿A+，不大認真的如果真的想過也不容易被當。 考試就是這次的範圍依老師上課次數的比例分配分數，然後基本上丁老師很佛的出了約10-20題是非，其他老師多是申論。申論給分不會很嚴，通常是要求你 闡述一個概念或想法，或舉一些例子，只要有完成到就會全給這樣，而且都是上課一定會教到的，另外久米老師會出名詞解釋。,推薦所有對生態學有興趣的人，或者想更瞭解森林系在做什麼的人。
M.1344417829.A.8B1__Forest3031,Forest3031,森林生物多樣性概論,丁宗蘇,https://www.ptt.cc/bbs/NTUcourse/M.1344417829.A.8B1.html,[問題] 生物多樣性概論 丁宗蘇,Wed Aug  8 17:23:45 2012,問題,,False,,,,,,
M.1643040711.A.A3D__EE5163,EE5163,高等數位訊號處理,丁建均,https://www.ptt.cc/bbs/NTUcourse/M.1643040711.A.A3D.html,[求救] 想請問丁建均教授高等數位訊號處理課的,Tue Jan 25 00:11:49 2022,求救,,False,,,,,,
M.1625332627.A.B6D__CommE5055,CommE5055,工程數學特論,丁建均,https://www.ptt.cc/bbs/NTUcourse/M.1625332627.A.B6D.html,[評價] 109-2 丁建均 工程數學特論,Sun Jul  4 01:17:05 2021,評價,109-2,True,5,3,3,投影片為主，教授會用手寫筆在上面講解，課後會上傳筆跡檔在網站 （貼心），本學期上課都有上傳錄影到NTU COOL上，所以沒有受疫情 影響。教學風格是一貫的Djj Style，就是把講義一步步講解，不會亂 跳或是突然進度很趕，算是很好適應的風格。,紮實甜 每三週出一次作業，共五次 （含4~6大題手寫＋程式作業 \w python or Matlab）各13% 期末考因疫情open everything，原訂open book （考試時間13:30~21:00超級充足）35%,這門課涵蓋了電機系大學部的工數部分，如果研究所在準備考試有用到 應該多少可以當成複習。只要好好寫作業，教授一般不會刁難同學，作 業考試和上課內容是十分吻合，如果有缺甜選修可以參考看看。另外我 把這學期我自己寫的作業還有程式作業放在github https://github.com/alfa871212/Engineering_mathematic 可能有誤，請斟酌使用。
M.1596951035.A.7AF__CommE5055,CommE5055,工程數學特論,丁建均,https://www.ptt.cc/bbs/NTUcourse/M.1596951035.A.7AF.html,[評價] 108-2 丁建均 工程數學特論,Sun Aug  9 13:30:33 2020,評價,108-2,True,5,4,1,投影片上課。因為疫情關係老師會錄影傳到 NTU Cool 上，所以可以依自己喜歡多複習幾次。 不過因為老師是第一次開這門課，所以投影片都是新寫的，上面打錯滿多東西，老師下課後會上傳筆跡檔，上面會有各種修改痕跡。所以推薦上課前印投影片然後直接手改（也可以下載之後用電腦改，但很花時間）。千萬不要考前一天才把投影片全印下來，難保期末考的時候抄到有 typo 的公式。不過下次開課可能就會改善許多。,作業 13% ×5 期末考 35% 甜到不行。還沒公佈分布，猜測會有一堆A+。,一門輕鬆舒服的數學課。老師主要是要補充電機系大學部工程數學沒教到但他覺得比較常用的部分，要是上到一半突然教到你研究需要的數學工具那當然更好。我正好複習到了早就忘光的 Sampling Theorem ，滿好的。可以當作補充一些常識，也不錯。
M.1436693366.A.DC5__EE5163,EE5163,高等數位訊號處理,丁建均,https://www.ptt.cc/bbs/NTUcourse/M.1436693366.A.DC5.html,[評價] 103-1 丁建均 時頻分析和小波轉換,Sun Jul 12 17:29:22 2015,評價,103-1,True,5,5,,投影片上課，投影片會事先公布於教學網站上，就照投影片講，但投影片不 一定會完全上到上課，只會挑重點上，不會像微分方程一樣提供有筆記的投 影片筆記檔，所以建議要去上課。(但是好像可以課間跟他要有筆記的投影 片檔案),Basic: 15 scores (基本11.8分，上課回答問題一次加0.8分，加分不限四 次，可以破表) Homework: 60 scores (5 times) Term paper 25 scores 感覺不調分，但是給分很寬鬆，作業有寫且不遲交都可以拿個9X分，其他部 份給分也都很寬鬆，最後成績出來A+的人高達全班人數的65%，甜!,之前修過老師的ADSP然後就跑來修小波了XD，小波轉換內容上比較艱深，但是 這門課並不會講得太難，主要是以這些轉換的一些基礎性質為主，所以並不算 太令人感到痛苦，加上給分佛心，算是電信所一大熱門，推！
M.1404187988.A.E05__EE5163,EE5163,高等數位訊號處理,丁建均,https://www.ptt.cc/bbs/NTUcourse/M.1404187988.A.E05.html,[評價] 102-2 高等數位訊號處理,Tue Jul  1 12:13:05 2014,評價,102-2,True,5,3,1,投影片上課，投影片會事先公布於教學網站上，就照投影片講，但是如同老 師的微分方程，上課並不會照投影片順序講，只會挑投影片重點上，然後他 不會像微分方程那樣提供有劃過的投影片筆記檔，所以建議要去上課。,給分甜嗎？修過的應該都會會心一笑吧XDDDDDD 噢對了我聽說上一屆75% A+啦，這一屆不清楚，但感覺頗甜 算分方式如下 Basic: 15 scores (基本12分，上課回答問題一次加1分) Homework: 60 scores (5 times) Term paper 25 scores 會不會調分不清楚，但是因為給分很寬鬆，所以拚個原始A+應該沒什麼困難,這門課雖然叫做高等數位訊號處理，但是內容上反而比較著重廣度，要修的話 可能要注意這點，但是內容上還算淺顯易懂，不會有太大困難這樣。這門課也 算是電信所一大熱門，loading不重又學得到東西，推！ 丁丁真的是認真上課的好老師啊，聽說他剛來系上的時候備課都是用上課時間 的好幾倍，這學期有一次他身體不適看起來快掛了(氣喘之類的)還硬是把課上 完，然後在給分上也不會為難大家，大家有興趣的話可以來多支持丁丁啊~~~~
M.1295023583.A.3F9__EE5163,EE5163,高等數位訊號處理,丁建均,https://www.ptt.cc/bbs/NTUcourse/M.1295023583.A.3F9.html,[問題] 丁建均老師的高等數位訊號處理,Sat Jan 15 00:46:21 2011,問題,,False,,,,,,
